simulation_index,goal_1_final,goal_2_final,goal_3_final
353,1683773.8159019165,17705758.450017653,3.599874418681409e+18
354,13809348066.450083,201756451074.88684,1.1219791720481059e+21
355,158225670848.80576,20782770882853.54,3.899556700050988e+20
356,286.6271105981342,3676397841.418167,2.721633763732656e+16
357,925410256.3493608,1774764068.9688063,5797669510985794.0
358,42269706.75601617,23606.61346043934,7.798951345849738e+16
359,3203067501785.155,31571144454045.79,2.238365194619104e+20
360,267706017.14919358,2.8138489736157828e+16,8.826704514805972e+22
361,16717881.727806631,145747515.36361352,2.9426108529264758e+20
362,847121721992.4039,8921181977.250149,9.731974480132217e+18
363,796302030.8048236,1001544554.5320178,491219873482789.8
364,958771.5164363902,342348097.24539447,2.1085181950118374e+25
365,3540947.9346908666,114784390561.63033,1.8197156216418963e+19
366,1551622.1707352884,11168766688.153597,276658032.3251354
367,28408.930864847032,19530207052.463936,9.675469614687039e+19
368,115693.95515521892,936612496411459.4,5.950049624199001e+16
369,584035567.7595118,4580158597900.134,2.830706866583633e+22
370,2487225.256804798,835665998579.1489,8.907080189585804e+21
371,182453321.73593146,154025008.98239785,2.3660441695428936e+18
372,111674525.48697002,5704414457.12468,1.833610342991941e+16
373,456701.3980927381,2830758815.601157,1514321625261.3303
374,843810866114.8232,1251596139617.2407,1361230981099409.0
375,21606579.720047887,17376368456804.656,106902753305871.98
376,13403275.46630289,2.5376336054943516e+16,5449888491230.182
377,252354.3502701499,289215721590079.0,3797504838157011.0
378,70056495.49620156,5339275.841312381,34014934988851.22
379,2169701990.979309,13993935.885608288,4.798361175399505e+19
380,734336.1425555407,209311199.87391165,3.8057053978962546e+20
381,1222362.3028208225,294780350.3633397,26113880335353.188
382,684006598.2999394,2183553540403.6064,7.738110887773421e+23
383,139094046715.2813,32153019922302.23,2280147562643.3184
384,994010450.3146225,85130.16140799478,1324828162156296.8
385,116308173.34365556,1311415867.5499754,14721683699664.766
386,4566331.507252294,112049462990.83311,8.934275712547662e+16
387,1966320492.5913393,360120566640.5973,2.132464452247021e+16
388,638088.3531816496,3623979252640629.5,2.1874627679289012e+16
389,22852772.98069274,513887811.63276786,4.14518681341756e+16
390,108743518.6365774,54656237306.840034,2.1805667303412529e+27
391,42327.742815416284,84241.90228805,16360273369813.16
392,918.5880650230041,28981599746.356762,3.1696827900416435e+17
393,995563236.9082354,106425410617.79346,2.403947834591664e+16
394,9700982.336127834,9430.59922774122,2.415148579490394e+17
395,29860861.605976433,2570949111605.9985,4.1129471577984685e+17
396,32497654.706915163,2819816602696.3374,1.2458345164018976e+30
397,1738166564.2280421,707365.3041880002,2.523900295805313e+18
398,30210739.471345752,314163634703279.4,6313051010894.259
399,15693842.739700826,67568234802.48964,2.9995190859656294e+25
400,3928154235.0391636,247835177963.25534,8.916902125361619e+19
401,1407090434.2970078,1298427.873773009,3.1485708029168104e+20
402,730433967.0794575,221282377.91191718,467638348761715.9
403,7334928.491516349,13124987385955.244,4.030855546244365e+19
404,10897609.271761449,411337393978594.4,3.3168854033328164e+21
405,478100.80896261666,158762679.95145392,769805145490440.6
406,16078088805.258148,5463578.814687834,2.136769936560377e+23
407,48413159.953833394,83624725239.09026,3.087147072925002e+18
408,1878825.4058070749,349872552.38266516,2222905897531168.5
409,2186911667.2831125,7037294006622.833,2.233995540839464e+19
410,888456.7425233687,540890233806062.3,3314180135779559.5
411,6147908.757382843,7797713679133.181,4.077527340668459e+17
412,39888.29222008022,32456010.074047696,3.2292370820340036e+20
413,2488008241.3570232,1747758178.0799716,412579295202068.4
414,25780001.61920962,1508264.0503689807,363227198367.8781
415,377829.0995179949,19245313.459709942,162791365.6525987
416,81609.56720944104,69340786768.41495,250598610.3935889
417,318400.97242110356,296567931017.833,2750865929448088.5
418,6235783258.295299,2070294685900915.5,9.769421658689196e+18
419,1105091.860779927,1616052657278.4292,5.017385772455014e+25
420,881164.497007397,208670539.7148104,11114773280981.486
421,41479.14836466987,226500041096.18713,1.0435910015557473e+20
422,414418973.8519448,8300633744.545008,198981155538074.47
423,341874781306.7737,9697856963669.125,14222675856774.94
424,775978986.4802104,48010963658.601685,79154493168762.16
425,607936.6210913097,726886635.6423595,3.5873088158737136e+22
426,292889831.79860276,2953496.8860712983,4.132501747272452e+20
427,958662.8609556688,290063861.2928954,139497622802.70468
428,36965175.63987217,4233675307237534.0,2.18104918831704e+23
429,594828181.8422687,608967345.5509728,130885523370442.95
430,5002496.646908542,105408593437.20624,3.878255409975492e+17
431,83213049.64767955,18938876738.21132,1.36433963212225e+19
432,6120410.921705327,1980333319.017063,12563100285066.242
433,33638256.27620486,121342041843.9459,8688639363684526.0
